from_asset,away_asset,away_entry_date,return_entry_date,away_holding_days,whipsaw_pnl
518880.SH,510300.SH,2014-03-26,2014-04-29,23,-0.01388451862528639
513100.SH,159915.SZ,2014-06-16,2014-06-23,5,-0.030288066372988198
513100.SH,518880.SH,2014-06-30,2014-07-08,6,-0.006653149368081479
159915.SZ,513100.SH,2014-09-04,2014-09-12,5,-0.010440314693142438
159915.SZ,510300.SH,2014-09-22,2014-09-29,5,0.0007735149035270616
510300.SH,159915.SZ,2014-09-29,2014-10-17,9,0.006188453377008241
510300.SH,518880.SH,2014-10-24,2014-10-31,5,-0.01580944760131875
510300.SH,513100.SH,2014-11-07,2014-11-24,11,0.015672120145324042
159915.SZ,513100.SH,2015-02-26,2015-03-05,5,0.011512733791386509
159915.SZ,510300.SH,2015-03-31,2015-04-08,5,0.021612430896046364
510300.SH,159915.SZ,2015-04-08,2015-04-15,5,0.0025697387713996545
159915.SZ,510300.SH,2015-04-15,2015-05-07,15,0.0250782916952077
510300.SH,159915.SZ,2015-05-07,2015-06-09,23,0.2962417286384209
513100.SH,518880.SH,2015-07-07,2015-07-15,6,-0.0025940251222559274
513100.SH,159915.SZ,2015-08-05,2015-08-12,5,0.06031303799404286
513100.SH,518880.SH,2015-08-19,2015-09-23,23,0.008795607073465161
513100.SH,159915.SZ,2015-09-30,2015-11-04,20,0.16555542963860836
159915.SZ,513100.SH,2015-11-04,2015-11-11,5,-0.002600862722398456
513100.SH,518880.SH,2016-04-27,2016-05-26,20,-0.01208141733383361
513100.SH,159915.SZ,2016-06-07,2016-06-16,5,-0.022538793269012758
159915.SZ,513100.SH,2016-06-16,2016-06-24,6,-0.00571703906368759
159915.SZ,518880.SH,2016-07-01,2016-07-12,7,0.03850480325888439
510300.SH,513100.SH,2016-07-26,2016-08-18,17,0.027809637572318247
513100.SH,518880.SH,2016-10-10,2016-10-17,5,0.0020620252536220907
510300.SH,518880.SH,2016-11-08,2016-11-15,5,-0.032407619926065445
513100.SH,518880.SH,2017-01-16,2017-02-03,9,-0.008867606161478858
518880.SH,513100.SH,2017-02-03,2017-03-23,34,0.07526980137505768
513100.SH,518880.SH,2017-03-23,2017-03-30,5,0.009205429413716937
518880.SH,513100.SH,2017-03-30,2017-04-10,5,-0.02198402474452732
513100.SH,518880.SH,2017-04-10,2017-04-26,12,0.003169115223574215
513100.SH,510300.SH,2017-06-02,2017-07-27,39,0.08228898295974219
159915.SZ,510300.SH,2017-09-13,2017-09-20,5,-0.00485502773356139
513100.SH,510300.SH,2017-10-25,2017-11-01,5,0.011027268847335847
510300.SH,513100.SH,2017-11-01,2017-11-14,9,0.008273985236455283
513100.SH,510300.SH,2017-11-14,2017-11-24,8,-0.010435578244259558
510300.SH,513100.SH,2017-11-24,2018-01-02,26,0.005509369247851392
510300.SH,518880.SH,2018-01-09,2018-01-16,5,0.01771902226457378
159915.SZ,513100.SH,2018-02-28,2018-03-07,5,-0.00038625301898420616
159915.SZ,518880.SH,2018-04-11,2018-04-25,10,-0.003586220056379763
513100.SH,510300.SH,2018-05-21,2018-05-28,5,-0.028397741509058272
513100.SH,159915.SZ,2018-07-20,2018-07-27,5,0.01151704476539539
513100.SH,510300.SH,2018-09-04,2018-09-11,5,-0.02325187491055103
518880.SH,510300.SH,2018-10-08,2018-10-15,5,-0.048203132722483
518880.SH,159915.SZ,2018-11-09,2018-12-03,16,0.005429900915574937
513100.SH,510300.SH,2019-04-09,2019-04-16,5,-0.01715278540990517
510300.SH,513100.SH,2019-04-16,2019-04-23,5,-0.0005239338152681627
513100.SH,510300.SH,2019-04-23,2019-04-30,5,-0.023917360083886785
518880.SH,510300.SH,2019-07-02,2019-07-10,6,-0.027842242118939264
518880.SH,513100.SH,2019-07-17,2019-07-30,9,0.008235422788523072
159915.SZ,513100.SH,2019-09-27,2019-10-11,5,-0.008352930408893733
513100.SH,159915.SZ,2019-10-11,2019-10-18,5,-8.370018347747532e-05
159915.SZ,513100.SH,2019-10-18,2019-11-06,13,0.03297062714244192
